2021-09-03 06:33:00 status unpacked libgssapi-krb5-2:amd64 1.17-3+deb10u2
2021-09-03 06:33:00 status half-configured libgssapi-krb5-2:amd64 1.17-3+deb10u2
2021-09-03 06:33:00 status installed libgssapi-krb5-2:amd64 1.17-3+deb10u2
2021-09-03 06:33:00 configure libcurl4:amd64 7.64.0-4+deb10u2 <none>
2021-09-03 06:33:00 status unpacked libcurl4:amd64 7.64.0-4+deb10u2
2021-09-03 06:33:00 status half-configured libcurl4:amd64 7.64.0-4+deb10u2
2021-09-03 06:33:00 status installed libcurl4:amd64 7.64.0-4+deb10u2
2021-09-03 06:33:00 configure curl:amd64 7.64.0-4+deb10u2 <none>
2021-09-03 06:33:00 status unpacked curl:amd64 7.64.0-4+deb10u2
2021-09-03 06:33:00 status half-configured curl:amd64 7.64.0-4+deb10u2
2021-09-03 06:33:00 status installed curl:amd64 7.64.0-4+deb10u2
2021-09-03 06:33:00 trigproc libc-bin:amd64 2.28-10 <none>
2021-09-03 06:33:00 status half-configured libc-bin:amd64 2.28-10
2021-09-03 06:33:00 status installed libc-bin:amd64 2.28-10
2021-09-03 06:33:00 trigproc ca-certificates:all 20200601~deb10u2 <none>
2021-09-03 06:33:00 status half-configured ca-certificates:all 20200601~deb10u2
2021-09-03 06:33:00 status installed ca-certificates:all 20200601~deb10u2
2021-09-03 06:33:05 startup archives unpack
2021-09-03 06:33:05 install readline-common:all <none> 7.0-5
2021-09-03 06:33:05 status half-installed readline-common:all 7.0-5
2021-09-03 06:33:05 status unpacked readline-common:all 7.0-5
2021-09-03 06:33:05 install libassuan0:amd64 <none> 2.5.2-1
2021-09-03 06:33:05 status triggers-pending libc-bin:amd64 2.28-10
2021-09-03 06:33:05 status half-installed libassuan0:amd64 2.5.2-1
2021-09-03 06:33:05 status unpacked libassuan0:amd64 2.5.2-1
2021-09-03 06:33:05 install libreadline7:amd64 <none> 7.0-5
2021-09-03 06:33:05 status half-installed libreadline7:amd64 7.0-5
2021-09-03 06:33:05 status unpacked libreadline7:amd64 7.0-5
2021-09-03 06:33:05 install gpgconf:amd64 <none> 2.2.12-1+deb10u1
2021-09-03 06:33:05 status half-installed gpgconf:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:05 status unpacked gpgconf:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:05 install lsb-base:all <none> 10.2019051400
2021-09-03 06:33:05 status half-installed lsb-base:all 10.2019051400
2021-09-03 06:33:05 status unpacked lsb-base:all 10.2019051400
2021-09-03 06:33:05 install libksba8:amd64 <none> 1.3.5-2
2021-09-03 06:33:05 status half-installed libksba8:amd64 1.3.5-2
2021-09-03 06:33:05 status unpacked libksba8:amd64 1.3.5-2
2021-09-03 06:33:05 install libnpth0:amd64 <none> 1.6-1
2021-09-03 06:33:05 status half-installed libnpth0:amd64 1.6-1
2021-09-03 06:33:05 status unpacked libnpth0:amd64 1.6-1
2021-09-03 06:33:05 install dirmngr:amd64 <none> 2.2.12-1+deb10u1
2021-09-03 06:33:05 status half-installed dirmngr:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:05 status unpacked dirmngr:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:05 install gnupg-l10n:all <none> 2.2.12-1+deb10u1
2021-09-03 06:33:05 status half-installed gnupg-l10n:all 2.2.12-1+deb10u1
2021-09-03 06:33:05 status unpacked gnupg-l10n:all 2.2.12-1+deb10u1
2021-09-03 06:33:05 install gnupg-utils:amd64 <none> 2.2.12-1+deb10u1
2021-09-03 06:33:05 status half-installed gnupg-utils:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:05 status unpacked gnupg-utils:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:05 install libsqlite3-0:amd64 <none> 3.27.2-3+deb10u1
2021-09-03 06:33:05 status half-installed libsqlite3-0:amd64 3.27.2-3+deb10u1
2021-09-03 06:33:05 status unpacked libsqlite3-0:amd64 3.27.2-3+deb10u1
2021-09-03 06:33:05 install gpg:amd64 <none> 2.2.12-1+deb10u1
2021-09-03 06:33:05 status half-installed gpg:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:05 status unpacked gpg:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:05 install pinentry-curses:amd64 <none> 1.1.0-2
2021-09-03 06:33:05 status half-installed pinentry-curses:amd64 1.1.0-2
2021-09-03 06:33:05 status unpacked pinentry-curses:amd64 1.1.0-2
2021-09-03 06:33:05 install gpg-agent:amd64 <none> 2.2.12-1+deb10u1
2021-09-03 06:33:05 status half-installed gpg-agent:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:05 status unpacked gpg-agent:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:05 install gpg-wks-client:amd64 <none> 2.2.12-1+deb10u1
2021-09-03 06:33:05 status half-installed gpg-wks-client:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:05 status unpacked gpg-wks-client:amd64 2.2.12-1+deb10u1
